,docid,model,nonfactual_spans,evidence,summary,factual_error,error_type,dialogue,origin,linguistic_categories
22,test_74,GPT-4,[],[],Person2 is working on creating a shopping budget to manage their spending and save money for paying their bills. They plan to limit their monthly spending to $300. Person1 approves of this financial strategy.,0,[],"#Person1#: What are you working on?
#Person2#: I''m figuring out my budget.
#Person1#: What budget?
#Person2#: I''m making a shopping budget, so that I don''t spend too much money.
#Person1#: How much money can you spend?
#Person2#: I can only spend $ 300 a month.
#Person1#: Why only $ 300?
#Person2#: I need to save the rest.
#Person1#: For what?
#Person2#: I need to pay my bills.
#Person1#: Your budget is a good idea.
#Person2#: I know. It''s going to save me a lot of money, I hope.",DialogSum,[]
23,test_74,Alpaca-13B,[],[],"Person2 is making a shopping budget, with a limit of $300 per month. They are doing this in order to save money for their bills. Person1 thinks this is a good idea.",0,[],"#Person1#: What are you working on?
#Person2#: I''m figuring out my budget.
#Person1#: What budget?
#Person2#: I''m making a shopping budget, so that I don''t spend too much money.
#Person1#: How much money can you spend?
#Person2#: I can only spend $ 300 a month.
#Person1#: Why only $ 300?
#Person2#: I need to save the rest.
#Person1#: For what?
#Person2#: I need to pay my bills.
#Person1#: Your budget is a good idea.
#Person2#: I know. It''s going to save me a lot of money, I hope.",DialogSum,[]
26,13731085,BART,[],[],Matt feels his homestay parents don't treat him well because he stays at home too much and they have to pay more for electricity.,0,[],"Matt: I feel like my homestay parents don't treat me that well
Jorge: Why u think so?
Matt: They take Carlos for subway
Matt: And I feel like they prefer talking to Carlos
Jorge: Do they feed you well tho 
Matt: Yea I guess
Jorge: Maybe you're just overthinking
Matt: I don't know
Matt: It feels like a negative vibe
Matt: is it because I stay at home too much 
Matt: And so They have to pay more for electricity 
Jorge: I doubt it but hmm 
Jorge: I would give a fuck
Jorge: You're there one more month and go 
Matt: True",FacEval,[]
28,13731085,GPT-4,[],[],"Matt is expressing concern that his homestay parents don't treat him well, as they seem to prefer another individual named Carlos. He feels neglected and wonders if it's because he stays at home which could potentially increase utility costs. Jorge assures him that he might be overthinking the situation and advises him not to worry too much, as he will be moving out after a month.",0,[],"Matt: I feel like my homestay parents don''t treat me that well
Jorge: Why u think so?
Matt: They take Carlos for subway
Matt: And I feel like they prefer talking to Carlos
Jorge: Do they feed you well tho 
Matt: Yea I guess
Jorge: Maybe you''re just overthinking
Matt: I don''t know
Matt: It feels like a negative vibe
Matt: is it because I stay at home too much 
Matt: And so They have to pay more for electricity 
Jorge: I doubt it but hmm 
Jorge: I would give a fuck
Jorge: You''re there one more month and go 
Matt: True",FacEval,[]
29,13731085,Alpaca-13B,[],[],"Matt feels like his homestay parents don't treat him well, but Jorge thinks he's overthinking it. Matt wonders if it's because he stays at home too much, but Jorge says he doesn't think so and suggests he just enjoy the rest of his stay.",0,[],"Matt: I feel like my homestay parents don''t treat me that well
Jorge: Why u think so?
Matt: They take Carlos for subway
Matt: And I feel like they prefer talking to Carlos
Jorge: Do they feed you well tho 
Matt: Yea I guess
Jorge: Maybe you''re just overthinking
Matt: I don''t know
Matt: It feels like a negative vibe
Matt: is it because I stay at home too much 
Matt: And so They have to pay more for electricity 
Jorge: I doubt it but hmm 
Jorge: I would give a fuck
Jorge: You''re there one more month and go 
Matt: True",FacEval,[]
31,13729178,BART,[],[],Susan had a date. They went to a rollerskating disco.,0,[],"Jill: so how was your date anyway? :)
Susan: it was perfect, he was so sweet!! <3
Jill: tell me everything!!
Susan: so first he picked me up from home, all dressed up and everything
Jill: suit on? :D
Susan: nooo, not like that, but he had a really nice black shirt, elegant shoes, looked like Brad Pitt hahaha
Jill: hahahahaha
Susan: <file_gif>
Jill: so where did he take you?
Susan: that's the best part! We went to rollerskating disco!!!
Jill: rollerskating what? are you serious? :/
Susan: no no, listen - it was so awesome, I am tired of all this dull restaurant dates and stuff, it was actually something original
Jill: if you say so...
Susan: you are just jealous Jill :D
Jill: I am not!!!!!!!
Susan: yes you are :*",SAMSum,[]
34,13729178,GPT-4,[],[],"Susan had a great date which started with her date picking her up from her home. He was dressed nicely, reminding her of Brad Pitt. To Susan's delight, he took her to a roller skating disco instead of a typical dinner date. Jill, however, felt a little skeptical about the idea. Susan teased Jill, suggesting she might be jealous.",0,[],"Jill: so how was your date anyway? :)
Susan: it was perfect, he was so sweet!! <3
Jill: tell me everything!!
Susan: so first he picked me up from home, all dressed up and everything
Jill: suit on? :D
Susan: nooo, not like that, but he had a really nice black shirt, elegant shoes, looked like Brad Pitt hahaha
Jill: hahahahaha
Susan: <file_gif>
Jill: so where did he take you?
Susan: that''s the best part! We went to rollerskating disco!!!
Jill: rollerskating what? are you serious? :/
Susan: no no, listen - it was so awesome, I am tired of all this dull restaurant dates and stuff, it was actually something original
Jill: if you say so...
Susan: you are just jealous Jill :D
Jill: I am not!!!!!!!
Susan: yes you are :*",SAMSum,[]
35,13729178,Alpaca-13B,[],[],"Susan and Jill are talking about Susan's recent date. Susan explains that it was perfect and her date was very sweet. He picked her up from home and they went to a rollerskating disco, which Susan enjoyed much more than a regular restaurant date. Jill is skeptical, but Susan insists that it was awesome.",0,[],"Jill: so how was your date anyway? :)
Susan: it was perfect, he was so sweet!! <3
Jill: tell me everything!!
Susan: so first he picked me up from home, all dressed up and everything
Jill: suit on? :D
Susan: nooo, not like that, but he had a really nice black shirt, elegant shoes, looked like Brad Pitt hahaha
Jill: hahahahaha
Susan: <file_gif>
Jill: so where did he take you?
Susan: that''s the best part! We went to rollerskating disco!!!
Jill: rollerskating what? are you serious? :/
Susan: no no, listen - it was so awesome, I am tired of all this dull restaurant dates and stuff, it was actually something original
Jill: if you say so...
Susan: you are just jealous Jill :D
Jill: I am not!!!!!!!
Susan: yes you are :*",SAMSum,[]
37,13828119,BART,[],[],Ethan will buy a kebab for Damian. Damian had a rough day.,0,[],"Damian: are you downtown?
Ethan: yes
Ethan: why?
Damian: can you buy me a kebab?
Damian: i'm starving
Ethan: why won't you cook something for both of us, huh?
Damian: man, give me a break, i had a rough day
Ethan: ok ok
Ethan: but i really wish you weren't such a parasite
Damian: i'll change, scout's honour",SAMSum,[]
40,13828119,GPT-4,[],[],"Damian asked Ethan, who was downtown, to buy him a kebab because he was very hungry and had a rough day. Ethan initially expressed his frustration about always catering to Damian's needs, wishing he wasn't so dependent on him. Nonetheless, he agreed to help this time. Damian promised to change his dependent behavior, citing 'scout's honour'.",0,[],"Damian: are you downtown?
Ethan: yes
Ethan: why?
Damian: can you buy me a kebab?
Damian: i''m starving
Ethan: why won''t you cook something for both of us, huh?
Damian: man, give me a break, i had a rough day
Ethan: ok ok
Ethan: but i really wish you weren''t such a parasite
Damian: i''ll change, scout''s honour",SAMSum,[]
41,13828119,Alpaca-13B,[],[],"Damian is asking Ethan to buy him a kebab, claiming to be starving. Ethan questions why Damian won't cook something for both of them, to which Damian responds that he had a rough day and Ethan reluctantly agrees to get him a kebab. Ethan then expresses his wish for Damian to be less of a parasite.",0,[],"Damian: are you downtown?
Ethan: yes
Ethan: why?
Damian: can you buy me a kebab?
Damian: i''m starving
Ethan: why won''t you cook something for both of us, huh?
Damian: man, give me a break, i had a rough day
Ethan: ok ok
Ethan: but i really wish you weren''t such a parasite
Damian: i''ll change, scout''s honour",SAMSum,[]
43,test_77,BART,[],[],##Person2# introduces 'A friend in New York' to #Person1#.,0,[],"#Person1#: I'm going to New York for the first time, but I don't have a tour guide. Can you give me any suggestions?
#Person2#: There's a service called 'A friend in New York'. It's a personal tour guide service.
#Person1#: That's interesting. What does it do?
#Person2#: You give them your information by answering a questionnaire and they will create a perfect trip for you according to your budget.
#Person1#: Good. Where can I get the questionnaire?
#Person2#: You can easily download it from their website.
#Person1#: That's helpful! Thanks!",DialogSum,[]
46,test_77,GPT-4,[],[],"Person1 is going to New York for the first time without a tour guide. Person2 suggests using a service called 'A friend in New York', which personalizes a trip based on provided information and budget. The questionnaire for the service can be downloaded from their website. Person1 appreciates the suggestion.",0,[],"#Person1#: I''m going to New York for the first time, but I don''t have a tour guide. Can you give me any suggestions?
#Person2#: There''s a service called ''A friend in New York''. It''s a personal tour guide service.
#Person1#: That''s interesting. What does it do?
#Person2#: You give them your information by answering a questionnaire and they will create a perfect trip for you according to your budget.
#Person1#: Good. Where can I get the questionnaire?
#Person2#: You can easily download it from their website.
#Person1#: That''s helpful! Thanks!",DialogSum,[]
47,test_77,Alpaca-13B,[],[],A friend in New York is a personal tour guide service that creates a perfect trip according to the user's budget. It can be downloaded from their website easily.,0,[],"#Person1#: I''m going to New York for the first time, but I don''t have a tour guide. Can you give me any suggestions?
#Person2#: There''s a service called ''A friend in New York''. It''s a personal tour guide service.
#Person1#: That''s interesting. What does it do?
#Person2#: You give them your information by answering a questionnaire and they will create a perfect trip for you according to your budget.
#Person1#: Good. Where can I get the questionnaire?
#Person2#: You can easily download it from their website.
#Person1#: That''s helpful! Thanks!",DialogSum,[]
49,test_75,BART,[],[],Jane is going to the hospital to see Susan. Henry tells Jane how to get there.,0,[],"#Person1#: Where are you going, Jane?
#Person2#: I'm going to the hospital to see Susan.
#Person1#: I saw her yesterday. She was a little better.
#Person2#: Must I catch a number 7 bus to get there?
#Person1#: No, you needn't. A number 13 bus will also take you to the hospital.
#Person2#: Number 13 buses run much more frequently, don't they?
#Person1#: Yes. I caught a number 7 bus yesterday, and they said I had taken a wrong bus.
#Person2#: Thank you, Henry. I'll get a number 13.
#Person1#: But number 13 buses leave from the center of town. You'll have to walk two miles to catch one.",DialogSum,[]
52,test_75,GPT-4,[],[],"Jane is going to the hospital to visit Susan and discusses with Henry about the bus route. Henry clarified to her that she will be able to take a number 13 bus, which runs more frequently, to the hospital instead of a number 7 bus. However, Henry also mentions that she would have to walk two miles to the town center to catch a number 13 bus.",0,[],"#Person1#: Where are you going, Jane?
#Person2#: I''m going to the hospital to see Susan.
#Person1#: I saw her yesterday. She was a little better.
#Person2#: Must I catch a number 7 bus to get there?
#Person1#: No, you needn''t. A number 13 bus will also take you to the hospital.
#Person2#: Number 13 buses run much more frequently, don''t they?
#Person1#: Yes. I caught a number 7 bus yesterday, and they said I had taken a wrong bus.
#Person2#: Thank you, Henry. I''ll get a number 13.
#Person1#: But number 13 buses leave from the center of town. You''ll have to walk two miles to catch one.",DialogSum,[]
53,test_75,Alpaca-13B,[],[],"Jane is going to the hospital to visit Susan, and Henry tells her she can take the number 13 bus which runs more frequently, but she will have to walk two miles to catch it.",0,[],"#Person1#: Where are you going, Jane?
#Person2#: I''m going to the hospital to see Susan.
#Person1#: I saw her yesterday. She was a little better.
#Person2#: Must I catch a number 7 bus to get there?
#Person1#: No, you needn''t. A number 13 bus will also take you to the hospital.
#Person2#: Number 13 buses run much more frequently, don''t they?
#Person1#: Yes. I caught a number 7 bus yesterday, and they said I had taken a wrong bus.
#Person2#: Thank you, Henry. I''ll get a number 13.
#Person1#: But number 13 buses leave from the center of town. You''ll have to walk two miles to catch one.",DialogSum,[]
55,test_123,BART,[],[],#2# asks #Person1# to let #Person2# know when the decision is made.,0,[],"#Person1#: How can we get in touch with you?
#Person2#: Please call me or send e-mail. Could you please let me know when your organization can make a decision?
#Person1#: About one week.
#Person2#: I really appreciate your time and help. See you then.",DialogSum,[]
58,test_123,GPT-4,[],[],"Person1 asks Person2 for their contact information, to which they respond by suggesting a phone call or email. Person2 then inquires about when the organization will make a decision, with Person1 indicating it will be in about a week. The conversation ends with Person2 expressing gratitude for Person1's time and help.",0,[],"#Person1#: How can we get in touch with you?
#Person2#: Please call me or send e-mail. Could you please let me know when your organization can make a decision?
#Person1#: About one week.
#Person2#: I really appreciate your time and help. See you then.",DialogSum,[]
59,test_123,Alpaca-13B,['Person1 said that Person2 could call or email them'],['#Person2# :  Please call me or send e-mail. Could you please let me know when your organization can make a decision?'],Person1 and Person2 discussed how to get in touch with each other and when Person1's organization can make a decision. Person1 said that Person2 could call or email them and that it would take about one week for the organization to make a decision. Person2 thanked Person1 for their time and help.,1,['Intrinsic_Error'],"#Person1#: How can we get in touch with you?
#Person2#: Please call me or send e-mail. Could you please let me know when your organization can make a decision?
#Person1#: About one week.
#Person2#: I really appreciate your time and help. See you then.",DialogSum,['Referential Error']
61,13817976,BART,['instead of 5'],[],Jane and Steven will meet at the main entrance instead of 5.,1,['Intrinsic_Error'],"Jane: google maps says it is at least 3h <file_other>
Steven: I used to make it in 2, trust me :D
Jane: but it's almost 300km..
Steven: the road is new , we will make it ^^
Jane: I don't want  to stress out , let's meet at 4:30 instead of 5, ok?
Steven: ok, if u reaaly want, we can meet at 4:30
Jane: thx! 
Jane: I will wait at the main entrance or where?
Steven: main entrance is good for me;-) 
Steven: cu",SAMSum,['Logical Error']
64,13817976,GPT-4,[],[],"Jane and Steven are discussing traveling to a destination that Google Maps says it's a 3-hour trip for 300km. Steven insists they can make it in 2 hours due to a new road. However, to avoid stress, Jane suggests they meet at 4:30 instead of 5 and Steven agrees. They decide to meet at the main entrance.",0,[],"Jane: google maps says it is at least 3h <file_other>
Steven: I used to make it in 2, trust me :D
Jane: but it''s almost 300km..
Steven: the road is new , we will make it ^^
Jane: I don''t want  to stress out , let''s meet at 4:30 instead of 5, ok?
Steven: ok, if u reaaly want, we can meet at 4:30
Jane: thx! 
Jane: I will wait at the main entrance or where?
Steven: main entrance is good for me;-) 
Steven: cu",SAMSum,[]
65,13817976,Alpaca-13B,"['suggests they meet later,', 'Jane agrees to the later meeting time']","[""Jane :  I don't want  to stress out , let's meet at 4 30 instead of 5, ok?"", 'Steven :  ok, if u reaaly want, we can meet at 4 30']","Jane and Steven are discussing the time and place of their meeting. Jane is worried about the travel time and suggests they meet later, while Steven is confident that they can make the journey in two hours. Jane agrees to the later meeting time, and they agree to meet at the main entrance. Both seem happy with the arrangement.",1,"['Intrinsic_Error', 'Intrinsic_Error']","Jane: google maps says it is at least 3h <file_other>
Steven: I used to make it in 2, trust me :D
Jane: but it''s almost 300km..
Steven: the road is new , we will make it ^^
Jane: I don''t want  to stress out , let''s meet at 4:30 instead of 5, ok?
Steven: ok, if u reaaly want, we can meet at 4:30
Jane: thx! 
Jane: I will wait at the main entrance or where?
Steven: main entrance is good for me;-) 
Steven: cu",SAMSum,"['Logical Error', 'Logical Error']"
67,test_320,BART,[],[],##Person1#'s throat is dry. #Person2# suggests drinking water when dehydrated.,0,[],"#Person1#: My throat is really dry.
#Person2#: Do you want to go get something to drink?
#Person1#: Yes, I'm parched.
#Person2#: What did you want to drink?
#Person1#: I was thinking about getting a soda.
#Person2#: Do you know that soda doesn't quench your thirst?
#Person1#: Why not?
#Person2#: Soda is really bad for you.
#Person1#: I don't know what else to drink.
#Person2#: You're supposed to drink water when you're dehydrated.
#Person1#: I would like some water.
#Person2#: That's what will keep you from being thirsty.",DialogSum,[]
70,test_320,GPT-4,[],[],"Person1 expresses their thirst, suggesting they might get a soda. Person2 advises them that soda is not good for hydration, to which Person1 seems unaware about what else to drink. Person2 suggests water, which Person1 agrees to.",0,[],"#Person1#: My throat is really dry.
#Person2#: Do you want to go get something to drink?
#Person1#: Yes, I''m parched.
#Person2#: What did you want to drink?
#Person1#: I was thinking about getting a soda.
#Person2#: Do you know that soda doesn''t quench your thirst?
#Person1#: Why not?
#Person2#: Soda is really bad for you.
#Person1#: I don''t know what else to drink.
#Person2#: You''re supposed to drink water when you''re dehydrated.
#Person1#: I would like some water.
#Person2#: That''s what will keep you from being thirsty.",DialogSum,[]
71,test_320,Alpaca-13B,[],[],Person1 is feeling thirsty and Person2 suggests that water is the best option to quench their thirst.,0,[],"#Person1#: My throat is really dry.
#Person2#: Do you want to go get something to drink?
#Person1#: Yes, I''m parched.
#Person2#: What did you want to drink?
#Person1#: I was thinking about getting a soda.
#Person2#: Do you know that soda doesn''t quench your thirst?
#Person1#: Why not?
#Person2#: Soda is really bad for you.
#Person1#: I don''t know what else to drink.
#Person2#: You''re supposed to drink water when you''re dehydrated.
#Person1#: I would like some water.
#Person2#: That''s what will keep you from being thirsty.",DialogSum,[]
73,13717284,BART,[],[],Joe's job is wearing him down.,0,[],"Joe: This job is wearing me up
Tim: Oh no! I thought you love it
Joe: I do, but because of it they give me more work
Sam: Shit, this sucks man, don't let it burn you out
Tim: Exactly, like my friend Terry
Joe: What did he do?
Tim: Quit eventually, but he had trouble sleeping, constantly tired, and turned out to have an ulcer
Joe: Fuck! I gotta slow down",SAMSum,[]
76,13717284,GPT-4,[],[],"Joe confides to Tim and Sam that his job, despite his love for it, is wearing him down due to the workload. Sam warns him about burnout, a situation Tim recalls occurred to his friend Terry, who suffered from sleep disturbances and developed an ulcer. Joe realises he needs to reduce the pace at which he's working.",0,[],"Joe: This job is wearing me up
Tim: Oh no! I thought you love it
Joe: I do, but because of it they give me more work
Sam: Shit, this sucks man, don''t let it burn you out
Tim: Exactly, like my friend Terry
Joe: What did he do?
Tim: Quit eventually, but he had trouble sleeping, constantly tired, and turned out to have an ulcer
Joe: Fuck! I gotta slow down",SAMSum,[]
77,13717284,Alpaca-13B,[],[],"Joe is feeling overwhelmed by his job, and his friends are concerned he might burn out. They warn him to take it easy and not let the job consume him.",0,[],"Joe: This job is wearing me up
Tim: Oh no! I thought you love it
Joe: I do, but because of it they give me more work
Sam: Shit, this sucks man, don''t let it burn you out
Tim: Exactly, like my friend Terry
Joe: What did he do?
Tim: Quit eventually, but he had trouble sleeping, constantly tired, and turned out to have an ulcer
Joe: Fuck! I gotta slow down",SAMSum,[]
79,test_282,BART,[],[],#Person2# thinks home video players will replace movie theatres and force them out of the entertainment business.,0,[],"#Person1#: Do you think home video players will replace movie theatres and force them out of the entertainment business?
#Person2#: We're certainly faced with the grave challenge from the DVD industry. That's why I think we have to revolutionize our concept of movie showing. As I see it, the movie theatre should not just be a place to watch a film, but a place to meet people.",DialogSum,[]
82,test_282,GPT-4,[],[],"Person 1 asked Person 2 whether home video players will replace movie theatres due to the increasing popularity of the DVD industry. Person 2 acknowledged the challenge but emphasized the need to innovate the movie theatre experience to make it not just about watching a film, but a place for social interaction.",0,[],"#Person1#: Do you think home video players will replace movie theatres and force them out of the entertainment business?
#Person2#: We''re certainly faced with the grave challenge from the DVD industry. That''s why I think we have to revolutionize our concept of movie showing. As I see it, the movie theatre should not just be a place to watch a film, but a place to meet people.",DialogSum,[]
83,test_282,Alpaca-13B,[],[],"#Person1# and #Person2# are discussing the challenge that movie theatres face from home video players such as DVDs. #Person2# believes that movie theatres need to revolutionize their concept in order to remain competitive, suggesting that they should focus on providing an experience that goes beyond just watching a film.",0,[],"#Person1#: Do you think home video players will replace movie theatres and force them out of the entertainment business?
#Person2#: We''re certainly faced with the grave challenge from the DVD industry. That''s why I think we have to revolutionize our concept of movie showing. As I see it, the movie theatre should not just be a place to watch a film, but a place to meet people.",DialogSum,[]
86,13730529,BART,"[None, None, None, None, None]",[],Mary didn't tell Mark's sister she's doing an online job. Mark is angry with her.,1,"['Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error', 'Extrinsic_Error']","Mary: Did you tell your sister I am doing online job?
Mark: yes !
Mary: why
Mark: because she keep saying your good for nothing?
Mary: dint I tell you I dont care?
Mark: what happened?
Mary: see I dont want to prove anything to anyone..
Mark: I know but I was just feeling proud so it was kind of show off
Mary: she is asking everyone and trying to get to the people I am working for
Mark: really!! I am sorry for that
Mary: dont be! I understand your feelings  but u know how she is
Mark: I know!! :? 
Mary: dont be sad now its ok.. she cant do much about it chill its ok but just be careful
Mark: I will be ..
Mary: btw it feels good that she is so jealous :P
Mark: lol my aim was to make her feel jealous
Mary: but i dont like it that she tries to contact the people i am working for ... what does she want?
Mark: may be she wants to confirm if its true... because its not easy to digest that your working from home and earning well!!!
Mary: whatever i just hate her
Mark: chill now .... :) love you
Mary: i am chilled :cool: ... love you too honey",FacEval,"['Referential Error', 'Circumstantial Inference']"
